file_name, item, word
s20_1.txt,100.00%,100.00%
s32_1.txt,100.00%,100.00%
Image_00027.txt,100.00%,100.00%
Image_00107.txt,100.00%,100.00%
s7_1.txt,100.00%,100.00%
Image_00117.txt,100.00%,100.00%
Image_00054.txt,100.00%,100.00%
Image_00015.txt,100.00%,100.00%
s17_2.txt,100.00%,100.00%
Image_00022.txt,100.00%,100.00%
s35_2.txt,100.00%,100.00%
s24_2.txt,100.00%,100.00%
s26_1.txt,83.33%,98.00%
Image_00059.txt,100.00%,100.00%
Image_00006.txt,100.00%,100.00%
s35_1.txt,100.00%,100.00%
s19_1.txt,83.33%,98.25%
s4_1.txt,100.00%,100.00%
Image_00119.txt,100.00%,100.00%
Image_00042.txt,100.00%,100.00%
Image_00076.txt,100.00%,100.00%
Image_00068.txt,100.00%,100.00%
Image_00079.txt,100.00%,100.00%
Image_00028.txt,100.00%,100.00%
Image_00016.txt,100.00%,100.00%
s47_1.txt,100.00%,100.00%
s12_1.txt,100.00%,100.00%
Image_00050.txt,100.00%,100.00%
s49_1.txt,100.00%,100.00%
